"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2015/08/01",80,71,88,67,82,55,95,1964,2006
"2","2015/08/02",76,66,85,67,82,57,96,1951,1955
"3","2015/08/03",80,71,89,67,82,54,97,1956,2006
"4","2015/08/04",81,72,89,67,82,52,93,1964,1995
"5","2015/08/05",77,67,87,67,82,55,97,1951,2005
"6","2015/08/06",71,62,80,67,82,53,90,1951,1955
"7","2015/08/07",73,65,80,67,82,55,94,1948,2001
"8","2015/08/08",71,64,78,67,82,54,95,1948,2007
"9","2015/08/09",73,64,82,67,82,54,100,1964,2001
"10","2015/08/10",74,67,81,67,82,50,96,1964,1949
"11","2015/08/11",74,71,77,67,82,51,95,1972,1949
"12","2015/08/12",76,68,84,67,82,54,94,1968,2016
"13","2015/08/13",74,65,83,66,82,52,95,1957,2016
"14","2015/08/14",74,62,86,66,81,51,94,1961,2016
"15","2015/08/15",80,69,91,66,81,52,95,1964,1988
"16","2015/08/16",80,72,87,66,81,53,91,1972,1959
"17","2015/08/17",81,71,90,66,81,53,92,1981,1959
"18","2015/08/18",82,76,88,66,81,53,93,1981,1956
"19","2015/08/19",80,73,86,66,81,53,90,1953,1956
"20","2015/08/20",81,75,86,66,81,50,96,1949,1955
"21","2015/08/21",74,68,79,65,81,51,93,1977,1955
"22","2015/08/22",75,66,84,65,80,46,91,1982,1955
"23","2015/08/23",74,68,80,65,80,52,89,1952,1976
"24","2015/08/24",78,72,84,65,80,48,91,1952,1995
"25","2015/08/25",80,72,87,65,80,50,93,1987,1969
"26","2015/08/26",74,65,83,65,80,50,94,1963,1948
"27","2015/08/27",72,62,82,64,80,51,100,1969,1948
"28","2015/08/28",71,63,79,64,79,50,96,1986,1948
"29","2015/08/29",72,60,83,64,79,44,98,1982,1953
"30","2015/08/30",78,69,86,64,79,46,96,1986,1953
"31","2015/08/31",81,74,87,64,79,50,94,1965,1953
"32","2015/09/01",79,71,86,63,78,52,93,1970,2010
"33","2015/09/02",78,68,88,63,78,50,99,1949,1953
"34","2015/09/03",78,69,87,63,78,46,91,1967,1993
"35","2015/09/04",75,69,81,62,78,51,91,1997,1973
"36","2015/09/05",71,63,79,62,77,49,91,1982,1961
"37","2015/09/06",72,60,83,62,77,48,92,1984,1983
"38","2015/09/07",76,64,88,62,77,46,91,1962,1983
"39","2015/09/08",84,74,94,61,77,49,94,1962,2015
"40","2015/09/09",82,76,87,61,76,48,89,1956,1959
"41","2015/09/10",73,67,78,61,76,46,93,1956,1983
"42","2015/09/11",72,64,79,60,76,45,90,1969,1983
"43","2015/09/12",71,63,79,60,75,44,88,1958,1952
"44","2015/09/13",70,60,79,60,75,46,89,1954,1952
"45","2015/09/14",67,57,76,59,75,44,86,1963,2011
"46","2015/09/15",69,56,81,59,74,46,85,1963,1993
"47","2015/09/16",70,59,80,58,74,43,89,1964,1991
"48","2015/09/17",74,62,86,58,74,41,89,1950,1991
"49","2015/09/18",73,63,82,58,73,42,84,1990,1992
"50","2015/09/19",74,66,81,57,73,42,88,1959,1983
"51","2015/09/20",69,60,78,57,73,42,87,1979,1983
"52","2015/09/21",65,56,73,56,72,36,85,1956,1965
"53","2015/09/22",66,60,71,56,72,42,89,1962,1970
"54","2015/09/23",65,55,74,56,72,40,91,1963,1970
"55","2015/09/24",68,58,77,55,71,36,87,1963,1959
"56","2015/09/25",66,60,72,55,71,37,85,1950,1970
"57","2015/09/26",63,56,70,54,70,43,84,1949,1958
"58","2015/09/27",60,50,70,54,70,37,84,1957,1998
"59","2015/09/28",67,58,75,53,70,36,81,1957,1959
"60","2015/09/29",74,68,80,53,69,39,83,1957,1959
"61","2015/09/30",69,59,79,53,69,37,82,1951,1986
"62","2015/10/01",59,55,63,52,69,35,83,1992,1986
"63","2015/10/02",53,49,56,52,68,37,83,1997,1954
"64","2015/10/03",51,48,54,51,68,37,80,2003,2000
"65","2015/10/04",58,51,65,51,67,34,83,1987,1954
"66","2015/10/05",59,50,68,50,67,33,84,1965,1967
"67","2015/10/06",58,47,69,50,67,33,86,1965,1997
"68","2015/10/07",64,54,73,50,66,35,78,1984,1997
"69","2015/10/08",61,53,68,49,66,35,89,1953,2007
"70","2015/10/09",66,58,73,49,66,31,80,1988,1959
"71","2015/10/10",56,47,65,48,65,33,85,1979,1949
"72","2015/10/11",58,46,69,48,65,33,83,1964,1949
"73","2015/10/12",62,50,74,48,65,31,81,1964,1954
"74","2015/10/13",67,60,73,47,64,33,81,2012,1954
"75","2015/10/14",61,52,70,47,64,32,80,1993,1990
"76","2015/10/15",54,44,63,47,64,36,80,1987,1975
"77","2015/10/16",56,47,65,46,63,35,77,1994,1956
