"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2015/08/01",74,64,86,63,81,51,92,1964,1975
"2","2015/08/02",71,62,82,64,82,54,99,1959,1975
"3","2015/08/03",72,64,82,64,82,50,93,1959,1975
"4","2015/08/04",76,69,82,65,81,50,90,1964,1980
"5","2015/08/05",74,63,84,63,81,47,91,1972,1979
"6","2015/08/06",69,61,77,62,81,50,91,1972,1977
"7","2015/08/07",71,62,80,62,80,51,90,1957,1968
"8","2015/08/08",69,60,80,63,81,50,92,1957,1980
"9","2015/08/09",69,60,80,64,81,51,90,1964,1968
"10","2015/08/10",66,57,75,64,81,44,91,1964,2005
"11","2015/08/11",70,69,72,63,79,50,90,1974,1977
"12","2015/08/12",72,64,80,62,79,49,89,1968,1988
"13","2015/08/13",70,62,79,60,79,44,90,1957,1988
"14","2015/08/14",70,61,81,62,80,45,93,1964,2016
"15","2015/08/15",72,64,81,62,79,45,92,1964,1985
"16","2015/08/16",76,69,82,62,80,48,91,1972,1970
"17","2015/08/17",74,68,82,62,80,49,90,1981,2002
"18","2015/08/18",76,69,82,61,79,49,92,1979,1987
"19","2015/08/19",76,71,82,60,78,49,89,1958,1966
"20","2015/08/20",76,73,80,60,78,49,94,1958,1983
"21","2015/08/21",78,73,82,57,78,47,90,1977,1976
"22","2015/08/22",76,69,84,58,78,48,90,1969,1976
"23","2015/08/23",73,68,79,59,77,46,88,1957,1976
"24","2015/08/24",74,70,78,58,77,45,87,1971,1969
"25","2015/08/25",75,69,82,59,78,45,90,1971,1969
"26","2015/08/26",72,64,79,59,78,46,87,1963,1980
"27","2015/08/27",70,60,79,61,79,49,89,1989,1980
"28","2015/08/28",67,59,75,62,79,47,90,1957,1959
"29","2015/08/29",67,55,79,61,78,44,90,1982,2010
"30","2015/08/30",76,70,82,59,78,42,91,1965,1973
"31","2015/08/31",78,72,86,59,78,41,91,1965,2010
"32","2015/09/01",75,64,84,58,77,45,89,1975,2010
"33","2015/09/02",70,62,80,58,77,45,90,1970,1966
"34","2015/09/03",72,64,82,58,76,42,90,1967,1973
"35","2015/09/04",73,64,84,58,76,48,91,1975,1973
"36","2015/09/05",65,57,73,57,76,46,88,1963,1961
"37","2015/09/06",65,55,75,57,76,45,89,1976,1983
"38","2015/09/07",72,61,82,57,76,40,91,1962,1983
"39","2015/09/08",78,72,86,55,74,43,91,1962,1985
"40","2015/09/09",76,71,82,54,73,43,89,1990,1959
"41","2015/09/10",74,66,81,55,75,33,88,1996,1961
"42","2015/09/11",69,63,77,56,75,44,93,1967,1983
"43","2015/09/12",68,60,75,55,75,40,90,1958,1961
"44","2015/09/13",68,63,75,55,74,33,86,1996,1957
"45","2015/09/14",64,57,73,55,74,40,87,1975,1981
"46","2015/09/15",68,55,82,53,72,37,82,1975,2008
"47","2015/09/16",67,57,77,53,73,37,87,1964,1991
"48","2015/09/17",66,57,77,53,72,38,89,1960,1991
