"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2015/08/01",78,69,88,63,82,50,97,1964,1933
"2","2015/08/02",74,62,87,62,83,50,98,1947,2006
"3","2015/08/03",79,69,90,65,85,48,102,1956,1975
"4","2015/08/04",82,71,91,65,85,47,99,1964,1975
"5","2015/08/05",75,64,86,64,84,52,101,1951,1955
"6","2015/08/06",70,62,80,62,84,33,95,1996,1931
"7","2015/08/07",72,61,82,63,83,47,98,1957,2001
"8","2015/08/08",72,62,82,63,82,47,98,1957,2001
"9","2015/08/09",72,63,82,63,83,51,102,1944,2001
"10","2015/08/10",72,62,84,63,83,43,100,1964,1949
"11","2015/08/11",71,69,75,62,82,46,98,1963,1944
"12","2015/08/12",74,64,84,62,81,49,98,1963,1944
"13","2015/08/13",73,64,82,60,79,46,98,1957,2005
"14","2015/08/14",73,60,87,61,82,46,97,1941,1988
"15","2015/08/15",78,66,91,61,82,46,95,1963,1944
"16","2015/08/16",79,68,90,61,82,47,96,1968,1988
"17","2015/08/17",80,68,91,61,82,46,95,1979,1944
"18","2015/08/18",82,72,91,61,82,45,97,1941,1987
"19","2015/08/19",80,72,87,58,81,44,95,1963,1966
"20","2015/08/20",78,71,86,58,79,46,96,1944,1937
"21","2015/08/21",73,69,77,57,80,43,97,1984,1955
"22","2015/08/22",73,64,84,57,79,43,91,1982,1976
"23","2015/08/23",73,66,82,57,79,43,92,1957,1976
"24","2015/08/24",78,71,86,58,80,45,93,1940,1947
"25","2015/08/25",77,70,84,59,79,38,95,1940,1948
"26","2015/08/26",72,64,82,58,78,42,99,1963,1948
"27","2015/08/27",68,57,80,60,80,46,98,1940,1948
"28","2015/08/28",68,57,81,61,82,46,98,1925,1993
"29","2015/08/29",70,57,82,60,82,38,98,1982,1953
"30","2015/08/30",76,64,89,59,80,39,97,1982,1953
"31","2015/08/31",79,69,89,59,79,38,98,1965,1953
"32","2015/09/01",76,66,87,56,79,45,98,1963,1973
"33","2015/09/02",78,66,91,55,79,41,101,1963,1953
"34","2015/09/03",78,66,90,57,78,42,96,1967,1953
"35","2015/09/04",76,66,82,57,77,45,95,1946,1929
"36","2015/09/05",70,57,82,56,77,42,95,1963,1973
"37","2015/09/06",72,57,87,56,77,43,90,1962,1943
"38","2015/09/07",78,63,93,55,78,34,93,1984,2015
"39","2015/09/08",84,72,95,54,77,39,95,1962,1983
"40","2015/09/09",81,72,91,55,75,33,92,1996,1959
"41","2015/09/10",71,64,78,53,76,35,95,1956,1931
"42","2015/09/11",70,62,79,53,76,40,94,1963,1931
"43","2015/09/12",69,60,79,53,76,38,93,1958,1961
"44","2015/09/13",70,63,79,52,76,33,91,1996,1948
"45","2015/09/14",64,55,73,54,75,35,92,1963,1931
"46","2015/09/15",68,55,84,52,74,37,89,1963,1981
"47","2015/09/16",70,55,84,51,74,34,92,1964,1941
"48","2015/09/17",73,59,88,50,74,33,91,1984,1991
"49","2015/09/18",72,59,86,52,74,37,92,1956,1991
"50","2015/09/19",72,62,82,53,73,32,87,1959,1946
"51","2015/09/20",67,57,75,50,73,34,95,1979,1983
"52","2015/09/21",60,48,73,51,72,30,89,1956,1983
"53","2015/09/22",64,57,72,50,73,31,92,1962,1970
"54","2015/09/23",64,50,77,50,71,33,93,1973,1970
"55","2015/09/24",66,50,81,48,69,29,89,1963,1959
"56","2015/09/25",63,54,73,47,67,33,90,1950,2007
"57","2015/09/26",62,53,70,46,68,34,90,1925,1958
"58","2015/09/27",58,43,73,46,70,29,86,1957,1998
"59","2015/09/28",66,52,80,47,70,29,84,1957,2014
"60","2015/09/29",72,63,82,46,69,29,86,1957,1945
"61","2015/09/30",69,59,78,44,69,31,85,1951,1922
"62","2015/10/01",58,53,63,45,68,34,89,1925,1927
"63","2015/10/02",51,48,54,46,68,33,87,1960,1922
"64","2015/10/03",50,46,54,47,68,33,83,1945,1922
"65","2015/10/04",54,46,61,45,65,27,86,1945,1959
"66","2015/10/05",54,45,66,44,67,30,88,1965,1941
"67","2015/10/06",58,44,71,43,67,26,89,1965,1959
"68","2015/10/07",59,48,72,43,68,22,88,1984,1963
"69","2015/10/08",56,46,68,42,65,27,84,1964,2007
"70","2015/10/09",62,51,73,44,66,30,84,1953,2011
"71","2015/10/10",54,46,63,42,65,26,89,1980,1949
