"","date","actual_mean_temp","actual_min_temp","actual_max_temp","average_min_temp","average_max_temp","record_min_temp","record_max_temp","record_min_temp_year","record_max_temp_year"
"1","2015/08/01",75,66,86,63,78,60,96,1998,1988
"2","2015/08/02",73,62,84,63,78,37,100,1996,1975
"3","2015/08/03",77,68,87,63,78,57,100,1976,1975
"4","2015/08/04",79,70,87,63,78,57,100,2016,1990
"5","2015/08/05",74,63,84,64,79,54,98,1972,1990
"6","2015/08/06",69,61,78,64,79,35,95,2004,1988
"7","2015/08/07",71,62,81,64,79,30,94,2004,1980
"8","2015/08/08",70,61,79,64,79,39,95,2004,1980
"9","2015/08/09",71,61,82,65,79,55,96,1989,1980
"10","2015/08/10",70,61,81,65,79,55,102,2002,2001
"11","2015/08/11",72,70,75,65,79,53,91,2007,1971
"12","2015/08/12",76,69,82,65,79,54,98,2006,1988
"13","2015/08/13",71,63,79,64,79,51,102,2006,1988
"14","2015/08/14",70,57,82,64,79,35,102,1996,1988
"15","2015/08/15",74,64,86,64,78,53,96,2013,1988
"16","2015/08/16",77,70,84,63,78,53,95,1972,1988
"17","2015/08/17",78,68,88,63,78,55,93,1979,1987
"18","2015/08/18",78,71,87,63,78,54,98,1979,1990
"19","2015/08/19",78,71,84,63,78,54,96,1977,1990
"20","2015/08/20",80,75,84,63,78,55,96,2008,1983
"21","2015/08/21",73,69,78,62,78,32,96,2001,1983
"22","2015/08/22",74,64,84,62,77,47,93,1982,1976
"23","2015/08/23",73,66,80,62,77,54,90,2004,1976
"24","2015/08/24",76,71,82,62,77,51,93,1971,1980
"25","2015/08/25",78,73,84,62,77,50,91,1987,1980
"26","2015/08/26",72,64,80,62,77,51,93,2004,1969
"27","2015/08/27",70,62,79,61,76,53,94,1969,1980
"28","2015/08/28",68,60,77,61,76,53,91,1986,1980
"29","2015/08/29",68,57,80,61,76,45,91,1982,1977
"30","2015/08/30",76,70,84,60,76,48,93,1986,1977
"31","2015/08/31",78,73,86,60,76,47,95,1976,2010
"32","2015/09/01",76,68,86,60,75,50,94,1986,1980
"33","2015/09/02",74,64,86,60,75,46,95,1986,1980
"34","2015/09/03",74,64,84,60,75,33,93,1998,1990
"35","2015/09/04",75,66,82,60,75,32,90,2000,1977
"36","2015/09/05",66,57,77,59,75,50,90,1989,1983
"37","2015/09/06",68,57,81,59,74,47,93,1984,1983
"38","2015/09/07",72,61,84,59,74,33,91,1996,1983
"39","2015/09/08",82,73,91,59,74,46,92,1984,1990
"40","2015/09/09",80,75,86,59,74,48,95,1986,1989
"41","2015/09/10",72,66,77,58,73,46,101,1978,1989
"42","2015/09/11",70,62,80,58,73,32,98,2001,1983
"43","2015/09/12",68,60,78,58,73,45,91,2006,1983
"44","2015/09/13",70,62,79,57,73,33,88,1996,1974
"45","2015/09/14",64,57,72,57,72,45,87,1978,1981
"46","2015/09/15",64,51,80,57,72,48,85,1983,1981
"47","2015/09/16",68,57,81,57,72,37,91,1999,1991
"48","2015/09/17",70,57,82,56,72,42,92,1984,1991
"49","2015/09/18",70,57,82,56,71,42,89,1990,1991
"50","2015/09/19",73,66,80,56,71,43,91,1990,1983
"51","2015/09/20",68,57,78,55,70,41,92,1979,1983
"52","2015/09/21",62,51,73,55,70,39,88,1979,1983
"53","2015/09/22",64,57,73,54,69,39,94,1986,1980
"54","2015/09/23",62,51,73,54,69,43,94,1991,1970
"55","2015/09/24",66,54,78,53,68,36,84,1974,1988
